sampleID,d15N,d13C
njZEDkTA4misW8k1uxtRpy9/eUO9pznT5fFy9saRSxU=,-3.1,-29.5
njZEDkTA4misW8k1uxtRpy9/eUO9pznT5fFy9saRSxU=,-3,-29.6
njZEDkTA4misW8k1uxtRpzWzzKfDITo68siBvvkbZRg=,-2.2,-29.5
njZEDkTA4mjbtTUzmCeqwiL+6A/GgsOBQF/CTTu2F5Y=,-1,-30.1
njZEDkTA4mjZGSPmEY3U4r56QTRz50sl+NE/grsCEPQ=,-1.7,-27.8
njZEDkTA4mgfENts4k6kSGBRN0EHeml9l4DjKXTfk+o=,-3.3,-30
njZEDkTA4mhH0X6U0MuB7VRO6eeyZWaniKGDpJXh+Ds=,-1.3,-29.8
njZEDkTA4mhsCFFRaj0x+KMq0RVoHlbqS8Q3jqKZbmc=,-1.8,-30.1
njZEDkTA4mjZGSPmEY3U4q2QdZT2qOdcd8fRI44y3zc=,-1.2,-28.1
njZEDkTA4mhR8rGbSsJLb6cukeMvremZBtGbGGiAx4k=,-4.8,-29.5
njZEDkTA4mhR8rGbSsJLbyKHqRDc/lGtzlnIdO9QBQ0=,-4.5,-28.5
njZEDkTA4mi6lNVtRg00eNWwyQgddzDi5F2NTGiJEVc=,-2.9,-31.6
njZEDkTA4mgDz3melY7dfQNMRUGLJr7nQVOoadhQsgI=,-1.7,-29.1
njZEDkTA4mgiCY3WEM5lM9N5JGr0HKviPCjIMG8pBsc=,-2.8,-26.4
njZEDkTA4mh0yr9ydy7qRZC0Ve+IWGQeEwpl4eZtpAg=,-3.1,-31.2
njZEDkTA4mgDIL0BcS2yRYGrNGyARpIhjrXOu1tJWWs=,-0.9,-30.4
njZEDkTA4mijb1oR1IwLWxivLK0WHZulG6IAdSLWObY=,-1.9,-27.3
njZEDkTA4mijQdJIkfYasnD2h9naC7vbsLiMy4Go8XA=,-1,-30.4
njZEDkTA4mgzibdydw4wIWlntUakjAYfiR8XOwNE4WU=,-5.7,-28.5
njZEDkTA4mgzibdydw4wIeucmC/7uRrENi3KhXAJaso=,-4.8,-31.4
njZEDkTA4mhSgYo6Ispo/+wm2QqCMyjIwgQhpNfyK0k=,-1.9,-29.3
njZEDkTA4mjRs6rw/tqfQrsycEHIOS06GZYymlMz4Ng=,-4.9,-30.3
